"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.ebs","SCIENTIFIC.ebs","COMMON.ebs","ECOPATH_Num.ebs","ECOPATH_Name.ebs","EXPLORE_Name.ebs","RACE.goa","SCIENTIFIC.goa","COMMON.goa","ECOPATH_Num.goa","ECOPATH_Name.goa","RACE.ai","SCIENTIFIC.ai","COMMON.ai","ECOPATH_Num.ai","ECOPATH_Name.ai","PHYLUM_TAXON","CLASS_TAXON","ORDER_TAXON","FAMILY_TAXON","GENUS_TAXON","SPECIES_TAXON"
69310,"Lithodes aequispinus","golden king crab",1984,69310,"Lithodes aequispina","golden king crab",89,"king_crabs","King Crab",69310,"Lithodes aequispinus","golden king crab",85,"King Crab",69310,"Lithodes aequispinus","golden king crab",86,"King Crab","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lithodes","aequispinus"
69312,"Dermaturus mandtii","wrinkled crab",1989,69312,"Dermaturus mandti","(blank)",98,"misc_crabs","Misc. crabs",NA,NA,NA,NA,NA,69312,"Dermaturus mandtii","wrinkled crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae","Dermaturus","mandtii"
69315,"Hapalogaster sp.",NA,1984,69315,"Hapalogaster sp.","(blank)",98,"misc_crabs","Misc. crabs",NA,NA,NA,NA,NA,69315,"Hapalogaster sp.","",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae","Hapalogaster",NA
69316,"Hapalogaster grebnitzkii","soft crab",1984,69316,"Hapalogaster grebnitzkii","(blank)",98,"misc_crabs","Misc. crabs",69316,"Hapalogaster grebnitzkii","soft crab",86,"Misc. crabs",69316,"Hapalogaster grebnitzkii","soft crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae","Hapalogaster","grebnitzkii"
69317,"Rhinolithodes wosnessenskii","rhinoceros crab",1984,NA,NA,NA,NA,NA,NA,69317,"Rhinolithodes wosnessenskii","rhinoceros crab",86,"Misc. crabs",69317,"Rhinolithodes wosnessenskii","rhinoceros crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae","Rhinolithodes","wosnessenskii"
69321,"Paralithodes sp.",NA,1984,NA,NA,NA,NA,NA,NA,69321,"Paralithodes sp.","(blank)",85,"King Crab",NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes",NA
69322,"Paralithodes camtschaticus","red king crab",1997,69322,"Paralithodes camtschaticus","red king crab",89,"king_crabs","King Crab",69322,"Paralithodes camtschaticus","red king crab",85,"King Crab",69322,"Paralithodes camtschaticus","red king crab",86,"King Crab","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","camtschaticus"
69323,"Paralithodes platypus","blue king crab",1984,69323,"Paralithodes platypus","blue king crab",89,"king_crabs","King Crab",69323,"Paralithodes platypus","blue king crab",85,"King Crab",NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","platypus"
66770,"Pasiphaea pacifica","Pacific glass shrimp",1997,66770,"Pasiphaea pacifica","Pacific glass shrimp",92,"np_shrimp","NP shrimp",66770,"Pasiphaea pacifica","Pacific glass shrimp",88,"NP shrimp",66770,"Pasiphaea pacifica","Pacific glass shrimp",89,"NP shrimp","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","pacifica"
66772,"Pasiphaea tarda","crimson pasiphaeid",1984,NA,NA,NA,NA,NA,NA,66772,"Pasiphaea tarda","crimson pasiphaeid",88,"NP shrimp",66772,"Pasiphaea tarda","crimson pasiphaeid",89,"NP shrimp","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","tarda"
