"predator","model","stratum_bin","year","lbin","pred_n","pred_full","tot_wt","tot_sci","prey_guild","prey_n","prey_wt","prey_sci","dietprop_wt","dietprop_sci"
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"pollock",0,0,0,0,0
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"squids",0,0,0,0,0
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,"zoop_other",5,2.889,0.0403977733161744,0.134722999440403,0.131501699176229
"Atka.mackerel","AI",212,2000,"[0,20)",13,13,21.444,0.30720343211715,NA,0,0,0,0,0
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"amphipods",21,0.912,0.00384158828551837,0.00262140526867967,0.00282613526500526
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"benthos",20,4.359,0.0158831263079568,0.0125292824190512,0.0116847147693216
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"copepods",49,308.081,1.21378924472868,0.885531969934321,0.892946441382888
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"euphausiids",32,27.984,0.0813205934669535,0.0804357511389604,0.0598249942177503
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"fish_other",4,0.199,0.000945591267302694,0.000571995228582515,0.000695641653448181
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"pollock",0,0,0,0,0
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"squids",3,2.321,0.00419004056012299,0.00667136143487446,0.00308248060662964
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,"zoop_other",15,4.048,0.0393279960299865,0.0116353602276484,0.0289323655273834
"Atka.mackerel","AI",212,2000,"[20,999)",54,50,347.905,1.35930800379125,NA,5,0.001,9.82314473515494e-06,2.8743478823242e-06,7.22657757311599e-06
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"amphipods",5,0.291,0.000661942207210655,0.00259751852182451,0.00246391238594152
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"benthos",10,8.279,0.0169673813983706,0.0738998482549317,0.0631567842766894
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"copepods",18,88.347,0.217139616939053,0.788601267517629,0.808247284773108
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"euphausiids",9,13.447,0.0295665092742336,0.120030349013657,0.110053850043521
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"fish_other",1,0.108,0.000275155484925356,0.000964027492635901,0.00102419667454681
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"pollock",0,0,0,0,0
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"squids",4,0.935,0.00287286222573387,0.00834597875569044,0.0106935027619965
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,"zoop_other",5,0.623,0.00117146151240423,0.00556101044363117,0.00436046908419608
"Atka.mackerel","AI",212,2002,"[20,999)",21,19,112.03,0.268654929041932,NA,0,0,0,0,0
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"amphipods",6,1.09,0.00696430034442007,0.0155714285714286,0.0190086141682285
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"benthos",0,0,0,0,0
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"copepods",6,66.295,0.341849351804399,0.947071428571429,0.933056030145975
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"euphausiids",3,0.68,0.00349450169773317,0.00971428571428572,0.00953801978624469
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"fish_other",0,0,0,0,0
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"pollock",0,0,0,0,0
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"squids",1,1.08,0.009139957410785,0.0154285714285714,0.0249469315427866
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,"zoop_other",2,0.855,0.00492790557298872,0.0122142857142857,0.0134504043567647
"Atka.mackerel","AI",212,2006,"[20,999)",6,6,70,0.366376016830326,NA,0,0,0,0,0
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"amphipods",41,8.388,0.0227230426486007,0.0139500770846534,0.0256012285960731
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"benthos",15,2.391,0.00673110808409925,0.00397647047084005,0.00758369552136157
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"copepods",39,405.363,0.56854661987996,0.674158929097087,0.640560870661743
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"euphausiids",36,62.59,0.105310745140751,0.10409338635294,0.118649799750175
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"fish_other",14,33.654,0.0503896508323294,0.0559699444691137,0.0567721933098697
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"myctophids",6,21.044,0.0294524755351662,0.034998262061212,0.033183036733088
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"pollock",0,0,0,0,0
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"squids",13,48.124,0.0691074055173742,0.0800349916096639,0.0778608091219147
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,"zoop_other",22,18.833,0.0341723736977595,0.0313211494677251,0.0385007749286011
"Atka.mackerel","AI",212,2010,"[20,999)",58,56,601.287,0.887576256870972,NA,4,0.9,0.0011428355349313,0.00149678938676539,0.00128759137717384
"Atka.mackerel","AI",212,2012,"[20,999)",34,30,469.5,1.04074390352034,"amphipods",14,14.14,0.0354156419104393,0.0301171458998935,0.0340291610555153
