NODC_CODE,RACE,BASE_NAME,EGOA_PREY,A_L_mm_g,B_L,CA,CB,C_TM,C_TO,C_Q
8827020101,20510,Anoplopoma fimbria (sablefish),Sablefish,,,NA,NA,NA,NA,NA
8831000000,0,Cottoidei (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831010000,0,Icelidae (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831010100,21446,Icelus sp. (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831010102,21439,Icelus canaliculatus (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831010105,21441,Icelus spatula (spatulate sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831010106,21438,Icelus spiniger (thorny sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831010107,21443,Icelus uncinalis (uncinate sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020000,21300,Cottidae (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020100,0,Archaulus sp. Cottidae (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020300,21331,Artediellus sp. (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020304,21333,Artediellus pacificus (Pacific hookear sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020305,21334,Artediellus scaber hamecon,Shelf_demersals,,,NA,NA,NA,NA,NA
8831020306,21335,Artediellus uncinatus (Arctic hookear sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020399,21337,Bolinia euryptera (broadfin sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020400,0,Artedius sp. (Irish lord),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020404,0,Artedius meanyi ((Puget Sound sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020601,0,Blepsias bilobus (crested sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020602,21398,Blepsias cirrhosus (silverspotted sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831020901,21390,Dasycottus setiger (spinyhead sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021000,0,Cottoidei (sculpin) Enophrys sp.,Shelf_demersals,,,NA,NA,NA,NA,NA
8831021002,20388,Antlered sculpin Enophrys diceraus,Shelf_demersals,,,NA,NA,NA,NA,NA
8831021003,21387,Enophrys lucasi (Leister sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021300,21313,Gymnocanthus (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021302,21316,Gymnocanthus galeatus (sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021303,21314,Gymnocanthus pistilliger (threaded sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021304,21315,Arctic staghorn sculpin Gymnocanthus tricuspis,Shelf_demersals,,,NA,NA,NA,NA,NA
8831021400,21342,Hemilepidotus sp. (sculpin),Large_sculpins,,,NA,NA,NA,NA,NA
8831021402,21346,Hemilepidotus hemilepidotus (red Irish lord),Large_sculpins,,,NA,NA,NA,NA,NA
8831021403,21347,Hemilepidotus jordani (yellow Irish lord),Large_sculpins,,,NA,NA,NA,NA,NA
8831021404,21348,Hemilepidotus papilio (butterfly sculpin),Large_sculpins,,,NA,NA,NA,NA,NA
8831021406,21345,Hemilepidotus zapus (longfin irish lord),Large_sculpins,,,NA,NA,NA,NA,NA
8831021502,21420,Hemitripterus bolini (bigmouth sculpin),Large_sculpins,,,NA,NA,NA,NA,NA
8831021600,21307,Icelinus sp.,Shelf_demersals,,,NA,NA,NA,NA,NA
8831021601,21311,Icelinus borealis (Northern Sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021603,21310,Icelinus filamentosus (threadfin sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021801,21380,Leptocottus armatus (Pacific staghorn sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021900,21339,Cottoidei (sculpin) Malacocottus sp.,Shelf_demersals,,,NA,NA,NA,NA,NA
8831021901,21340,Malacocottus kincaidi (blackfin sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831021902,21341,Malacocottus zonurus (darkfin sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
8831022001,21376,Megalocottus paltycephalus (belligerent sculpin),Shelf_demersals,,,NA,NA,NA,NA,NA
