"species_code","species_name","common_name","year_added","kingdom_taxon","phylum_taxon","class_taxon","order_taxon","family_taxon","genus_taxon","species_taxon","report_name_scientific","ebs_ecopath","ai_ecopath","goa_ecopath","ebs_guild","ai_guild","goa_guild","final_goa"
10116,"Reinhardtius hippoglossoides (juvenile)","Greenland turbot (juvenile)",2011,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","hippoglossoides","Reinhardtius hippoglossoides",NA,NA,NA,NA,NA,NA,"ZERO"
10120,"Hippoglossus stenolepis","Pacific halibut",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","stenolepis","Hippoglossus stenolepis","halibut","P. Halibut","P. Halibut","Apex predators","Apex predators","Apex predators","Pacific_halibut"
10121,"Hippoglossus stenolepis (juvenile)","Pacific halibut (juvenile)",2017,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","stenolepis","Hippoglossus stenolepis",NA,NA,NA,NA,NA,NA,"ZERO"
10122,"Parophrys vetulus X Platichthys stellatus hybrid","hybrid sole",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae",NA,NA,"Pleuronectidae unid.",NA,NA,NA,NA,NA,NA,"ZERO"
10129,"Hippoglossoides sp.",NA,1987,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides",NA,"Hippoglossoides sp.","gen_hippoglossoides",NA,NA,NA,NA,NA,"ZERO"
10130,"Hippoglossoides elassodon","flathead sole",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","elassodon","Hippoglossoides elassodon","fh_sole","FH. Sole","FH. Sole","Benthic foragers","Benthic foragers","Benthic foragers","Flathead_sole"
10140,"Hippoglossoides robustus","Bering flounder",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","robustus","Hippoglossoides robustus","misc_flats",NA,NA,"Benthic foragers",NA,NA,"ZERO"
10141,"Hippoglossoides robustus (juvenile)","Bering flounder (juvenile)",2010,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","robustus","Hippoglossoides robustus",NA,NA,NA,NA,NA,NA,"ZERO"
10145,"Hypsopsetta guttulata","diamond turbot",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hypsopsetta","guttulata","Hypsopsetta guttulata",NA,NA,NA,NA,NA,NA,"ZERO"
10150,"Lyopsetta exilis","slender sole",1987,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lyopsetta","exilis","Lyopsetta exilis","misc_flats","Misc. Flatfish","Misc. Flatfish","Benthic foragers","Benthic foragers","Benthic foragers","Shallow_water_flatfish"
