SURVEY,MODEL,STRAT_GROUPS,STRATUM,AREA,PERIMETER,INPFC_AREA,MIN_DEPTH,MAX_DEPTH,DESCRIPTION,SUMMARY_AREA,SUMMARY_DEPTH,SUMMARY_AREA_DEPTH,REGULATORY_AREA_NAME,STRATUM_TYPE
GOA,EGOA,E_GOA,550,1206.344,1086.404,Southeastern,701,1000,Southeastern Slope            ,959,996,956,EASTERN GOA,SLOPE
GOA,EGOA,E_GOA,40,9947.134,1722.954,Yakutat,1,100,Yakutat Shallows              ,949,991,941,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,41,6714.31,904.018,Yakutat,1,100,Middleton Shallows            ,949,991,941,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,140,7345.605,992.786,Yakutat,101,200,Middleton Shelf               ,949,992,942,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,141,5276.558,756.103,Yakutat,101,200,Yakataga Shelf                ,949,992,942,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,142,9031.904,426.338,Yakutat,101,200,Yakutat Flats                 ,949,992,942,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,143,7727.531,729.892,Yakutat,101,200,Fairweather Shelf             ,949,992,942,EASTERN GOA,SHELF
GOA,EGOA,E_GOA,240,3042.703,857.375,Yakutat,201,300,Yakutat Gullies               ,949,993,943,EASTERN GOA,GULLY
GOA,EGOA,E_GOA,241,2127.348,1421.962,Yakutat,201,300,Yakutat Slope                 ,949,993,943,EASTERN GOA,SLOPE
GOA,EGOA,E_GOA,340,1107.196,276.361,Yakutat,301,500,Yakutat Gullies               ,949,994,944,EASTERN GOA,GULLY
GOA,EGOA,E_GOA,341,1520.577,1427.265,Yakutat,301,500,Yakutat Slope                 ,949,994,944,EASTERN GOA,SLOPE
GOA,EGOA,E_GOA,440,1469.256,1434.651,Yakutat,501,700,Yakutat Slope                 ,949,995,945,EASTERN GOA,SLOPE
GOA,EGOA,E_GOA,540,1887.412,1410.367,Yakutat,701,1000,Yakutat Slope                 ,949,996,946,EASTERN GOA,SLOPE
WINTER,WINTER,BERINGSEA,518,12112,NA,BERINGSEA,NA,NA,Bering Sea Low Density,510,2,NA,NA,NA
WINTER,WINTER,BERINGSEA,519,7765,NA,BERINGSEA,NA,NA,Bering Sea High Density,510,1,NA,NA,NA
WINTER,WINTER,KODIAK,638,13639,NA,KODIAK,NA,NA,Kodiak Low Density,630,1,NA,NA,NA
WINTER,WINTER,SHUMAGIN,619,2631,NA,SHUMAGIN,NA,NA,Shumagin Islands High Density,610,1,NA,NA,NA
WINTER,WINTER,SHUMAGIN,618,10282,NA,SHUMAGIN,NA,NA,Shumagin Islands Low Density,610,2,NA,NA,NA
